"Código Departamento","Código Municipio","Código Centro Poblado","Nombre Departamento","Nombre Municipio","Nombre Centro Poblado","Tipo Centro Poblado","Longitud","Latitud","Nombre Distrito","Municipio/Áreas No Municipalizadas (ANM)","Nombre Área Metropolitana"
"05","05001","05001000","ANTIOQUIA","MEDELLÍN","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","CABECERA MUNICIPAL","-75.578661","6.250063","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001001","ANTIOQUIA","MEDELLÍN","PALMITAS","CENTRO POBLADO","-75.690039","6.343329","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001004","ANTIOQUIA","MEDELLÍN","SANTA ELENA","CENTRO POBLADO","-75.501293","6.210599","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001009","ANTIOQUIA","MEDELLÍN","ALTAVISTA","CENTRO POBLADO","-75.644721","6.220472","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001010","ANTIOQUIA","MEDELLÍN","AGUAS FRÍAS","CENTRO POBLADO","-75.635261","6.232665","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001013","ANTIOQUIA","MEDELLÍN","SAN JOSÉ DEL MANZANILLO","CENTRO POBLADO","-75.613254","6.205992","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001014","ANTIOQUIA","MEDELLÍN","BARRO BLANCO","CENTRO POBLADO","-75.477868","6.234506","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001015","ANTIOQUIA","MEDELLÍN","EL CERRO","CENTRO POBLADO","-75.491056","6.201982","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001017","ANTIOQUIA","MEDELLÍN","EL PATIO","CENTRO POBLADO","-75.65111","6.277841","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001018","ANTIOQUIA","MEDELLÍN","EL PLACER","CENTRO POBLADO","-75.492971","6.224788","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001019","ANTIOQUIA","MEDELLÍN","EL PLAN","CENTRO POBLADO","-75.518361","6.204348","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001022","ANTIOQUIA","MEDELLÍN","LA ALDEA","CENTRO POBLADO","-75.703423","6.342421","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001023","ANTIOQUIA","MEDELLÍN","LA CUCHILLA","CENTRO POBLADO","-75.65356","6.293513","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001025","ANTIOQUIA","MEDELLÍN","LA PALMA","CENTRO POBLADO","-75.648077","6.273406","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001027","ANTIOQUIA","MEDELLÍN","LAS PLAYAS","CENTRO POBLADO","-75.649303","6.284456","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001029","ANTIOQUIA","MEDELLÍN","PIEDRA GORDA","CENTRO POBLADO","-75.498185","6.234886","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001031","ANTIOQUIA","MEDELLÍN","POTRERITO","CENTRO POBLADO","-75.668067","6.183065","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001032","ANTIOQUIA","MEDELLÍN","TRAVESÍAS","CENTRO POBLADO","-75.643128","6.286948","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001033","ANTIOQUIA","MEDELLÍN","URQUITA","CENTRO POBLADO","-75.698148","6.365318","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001035","ANTIOQUIA","MEDELLÍN","BOQUERÓN","CENTRO POBLADO","-75.657851","6.315868","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001039","ANTIOQUIA","MEDELLÍN","EL LLANO 1","CENTRO POBLADO","-75.649476","6.294584","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001040","ANTIOQUIA","MEDELLÍN","EL LLANO","CENTRO POBLADO","-75.505515","6.195631","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001048","ANTIOQUIA","MEDELLÍN","LA VERDE","CENTRO POBLADO","-75.639004","6.189958","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001052","ANTIOQUIA","MEDELLÍN","MATASANO","CENTRO POBLADO","-75.493578","6.258862","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001054","ANTIOQUIA","MEDELLÍN","MATASANO 2","CENTRO POBLADO","-75.504674","6.266006","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001055","ANTIOQUIA","MEDELLÍN","MAZO","CENTRO POBLADO","-75.498723","6.24832","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001057","ANTIOQUIA","MEDELLÍN","MEDIA LUNA","CENTRO POBLADO","-75.516161","6.241195","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05001","05001066","ANTIOQUIA","MEDELLÍN","LAS CAMELIAS","CENTRO POBLADO","-75.643377","6.196729","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"05","05002","05002000","ANTIOQUIA","ABEJORRAL","ABEJORRAL","CABECERA MUNICIPAL","-75.428739","5.789315","","MUNICIPIO",""
"05","05002","05002002","ANTIOQUIA","ABEJORRAL","PANTANILLO","CENTRO POBLADO","-75.490787","5.730256","","MUNICIPIO",""
"05","05002","05002004","ANTIOQUIA","ABEJORRAL","NARANJAL - LAS FONDAS","CENTRO POBLADO","-75.514084","5.763384","","MUNICIPIO",""
"05","05002","05002016","ANTIOQUIA","ABEJORRAL","LAS CANOAS","CENTRO POBLADO","-75.429071","5.782188","","MUNICIPIO",""
"05","05004","05004000","ANTIOQUIA","ABRIAQUÍ","ABRIAQUÍ","CABECERA MUNICIPAL","-76.064703","6.631806","","MUNICIPIO",""
"05","05004","05004003","ANTIOQUIA","ABRIAQUÍ","POTREROS SECTOR 1","CENTRO POBLADO","-76.089393","6.67448","","MUNICIPIO",""
"05","05021","05021000","ANTIOQUIA","ALEJANDRÍA","ALEJANDRÍA","CABECERA MUNICIPAL","-75.141346","6.376061","","MUNICIPIO",""
"05","05030","05030000","ANTIOQUIA","AMAGÁ","AMAGÁ","CABECERA MUNICIPAL","-75.702041","6.038817","","MUNICIPIO",""
"05","05030","05030001","ANTIOQUIA","AMAGÁ","CAMILO C","CENTRO POBLADO","-75.698672","6.02658","","MUNICIPIO",""
"05","05030","05030003","ANTIOQUIA","AMAGÁ","LA CLARITA","CENTRO POBLADO","-75.699419","6.069094","","MUNICIPIO",""
"05","05030","05030004","ANTIOQUIA","AMAGÁ","LA FERREIRA","CENTRO POBLADO","-75.709024","6.063192","","MUNICIPIO",""
"05","05030","05030005","ANTIOQUIA","AMAGÁ","LA GUALÍ","CENTRO POBLADO","-75.70687","6.057368","","MUNICIPIO",""
"05","05030","05030006","ANTIOQUIA","AMAGÁ","PIEDECUESTA","CENTRO POBLADO","-75.69346","6.049992","","MUNICIPIO",""
"05","05030","05030011","ANTIOQUIA","AMAGÁ","MINAS","CENTRO POBLADO","-75.701064","6.077355","","MUNICIPIO",""
"05","05030","05030012","ANTIOQUIA","AMAGÁ","CAMILO C - ALTO DE LA VIRGEN","CENTRO POBLADO","-75.703336","6.027213","","MUNICIPIO",""
"05","05030","05030013","ANTIOQUIA","AMAGÁ","PIEDECUESTA - MANI DE LAS CASAS","CENTRO POBLADO","-75.694019","6.055273","","MUNICIPIO",""
"05","05031","05031000","ANTIOQUIA","AMALFI","AMALFI","CABECERA MUNICIPAL","-75.082524","6.912305","","MUNICIPIO",""
"05","05031","05031004","ANTIOQUIA","AMALFI","PORTACHUELO","CENTRO POBLADO","-74.92645","6.801678","","MUNICIPIO",""
"05","05034","05034000","ANTIOQUIA","ANDES","ANDES","CABECERA MUNICIPAL","-75.878828","5.657194","","MUNICIPIO",""
"05","05034","05034001","ANTIOQUIA","ANDES","BUENOS AIRES","CENTRO POBLADO","-75.83555","5.682787","","MUNICIPIO",""
"05","05034","05034003","ANTIOQUIA","ANDES","SAN JOSÉ","CENTRO POBLADO","-75.870355","5.736089","","MUNICIPIO",""
"05","05034","05034006","ANTIOQUIA","ANDES","SANTA RITA","CENTRO POBLADO","-75.917387","5.612796","","MUNICIPIO",""
"05","05034","05034007","ANTIOQUIA","ANDES","TAPARTÓ","CENTRO POBLADO","-75.965055","5.700929","","MUNICIPIO",""
