Nombre Municipio,Longitud,Latitud
MEDELLÍN,-75.578661,6.250063
ABEJORRAL,-75.428739,5.789315
ABRIAQUÍ,-76.064703,6.631806
ALEJANDRÍA,-75.141346,6.376061
AMAGÁ,-75.702041,6.038817
AMALFI,-75.082524,6.912305
ANDES,-75.878828,5.657194
ANGELÓPOLIS,-75.711389,6.109719
ANGOSTURA,-75.335116,6.885175
ANORÍ,-75.148355,7.074703
SANTA FÉ DE ANTIOQUIA,-75.826648,6.556484
ANZÁ,-75.854442,6.302641
APARTADÓ,-76.625135,7.883257
ARBOLETES,-76.426708,8.849317
ARGELIA,-75.141741,5.730672
ARMENIA,-75.787072,6.155889
BARBOSA,-75.331627,6.439195
BELMIRA,-75.667779,6.606319
BELLO,-75.555245,6.333587
BETANIA,-75.975655,5.744735
BETULIA,-75.984452,6.115208
CIUDAD BOLÍVAR,-76.021509,5.850273
BRICEÑO,-75.54813,7.114883
BURITICÁ,-75.907496,6.71973
CÁCERES,-75.35205,7.578366
CAICEDO,-75.98293,6.405607
CALDAS,-75.633619,6.091296
CAMPAMENTO,-75.298091,6.979771
CAÑASGORDAS,-76.03221,6.759478
CARACOLÍ,-74.757421,6.409829
CARAMANTA,-75.643868,5.54853
CAREPA,-76.652822,7.755199
EL CARMEN DE VIBORAL,-75.334146,6.083185
CAROLINA,-75.283192,6.725995
CAUCASIA,-75.197996,7.977278
CHIGORODÓ,-76.681276,7.666199
CISNEROS,-75.087047,6.537829
COCORNÁ,-75.185483,6.058295
CONCEPCIÓN,-75.257587,6.394348
CONCORDIA,-75.908417,6.045766
COPACABANA,-75.509309,6.348654
DABEIBA,-76.262977,7.000322
DONMATÍAS,-75.39263,6.485603
EBÉJICO,-75.764165,6.326128
EL BAGRE,-74.799097,7.5975
ENTRERRÍOS,-75.517685,6.566273
ENVIGADO,-75.582766,6.166891
FREDONIA,-75.670453,5.924363
FRONTINO,-76.130765,6.776066
GIRALDO,-75.952158,6.680808
GIRARDOTA,-75.444235,6.379487
GÓMEZ PLATA,-75.220018,6.683269
GRANADA,-75.184446,6.142892
GUADALUPE,-75.240019,6.814263
GUARNE,-75.441612,6.27787
GUATAPÉ,-75.162293,6.232669
HELICONIA,-75.734322,6.206757
HISPANIA,-75.906587,5.799461
ITAGÜÍ,-75.614359,6.169598
ITUANGO,-75.764673,7.171629
JARDÍN,-75.818982,5.597542
JERICÓ,-75.785499,5.789748
LA CEJA,-75.429433,6.028062
LA ESTRELLA,-75.631869,6.123327
LA PINTADA,-75.60781,5.743808
LA UNIÓN,-75.360874,5.973845
LIBORINA,-75.812838,6.677316
MACEO,-74.78716,6.552116
MARINILLA,-75.33889,6.172156
MONTEBELLO,-75.523455,5.946313
MURINDÓ,-76.817485,6.97771
MUTATÁ,-76.435875,7.242875
NARIÑO,-75.176262,5.610777
NECOCLÍ,-76.784588,8.426139
NECHÍ,-74.77647,8.094129
OLAYA,-75.812301,6.627524
PEÑOL,-75.242693,6.219349
PEQUE,-75.910347,7.02102
PUEBLORRICO,-75.83737,5.792984
PUERTO BERRÍO,-74.409962,6.48701
PUERTO NARE,-74.583012,6.186025
PUERTO TRIUNFO,-74.64119,5.871318
REMEDIOS,-74.695944,7.026094
RETIRO,-75.501301,6.062454
RIONEGRO,-75.376859,6.147425
SABANALARGA,-75.816645,6.850028
SABANETA,-75.615479,6.149903
SALGAR,-75.982237,5.965817
SAN ANDRÉS DE CUERQUÍA,-75.676008,6.912558
SAN CARLOS,-74.987831,6.188449
SAN FRANCISCO,-75.101467,5.961785
SAN JERÓNIMO,-75.726975,6.44809
SAN JOSÉ DE LA MONTAÑA,-75.683352,6.85009
SAN JUAN DE URABÁ,-76.52857,8.758964
SAN LUIS,-74.993562,6.043012
SAN PEDRO DE LOS MILAGROS,-75.556743,6.46012
SAN PEDRO DE URABÁ,-76.380567,8.276884
SAN RAFAEL,-75.02849,6.293759
SAN ROQUE,-75.019109,6.485939
SAN VICENTE FERRER,-75.332616,6.282164
SANTA BÁRBARA,-75.567351,5.875527
SANTA ROSA DE OSOS,-75.460723,6.643366
SANTO DOMINGO,-75.167142,6.475646
EL SANTUARIO,-75.265851,6.137058
SEGOVIA,-74.701596,7.079648
SONSÓN,-75.309596,5.714851
SOPETRÁN,-75.747378,6.500745
TÁMESIS,-75.714429,5.664645
TARAZÁ,-75.401407,7.580127
TARSO,-75.823214,5.863296
TITIRIBÍ,-75.791549,6.06098
TOLEDO,-75.691442,7.010154
TURBO,-76.725988,8.093955
URAMITA,-76.173284,6.898393
URRAO,-76.133951,6.317343
VALDIVIA,-75.439274,7.1652
VALPARAÍSO,-75.624452,5.614555
VEGACHÍ,-74.798714,6.773525
VENECIA,-75.735544,5.964693
VIGÍA DEL FUERTE,-76.896004,6.588164
YALÍ,-74.840059,6.676554
YARUMAL,-75.418828,6.963832
YOLOMBÓ,-75.013385,6.594511
YONDÓ,-73.912445,7.00396
ZARAGOZA,-74.867075,7.488583
